,ply,move,fen,white_active,voc,time_control,clock,rt,game_id,white_player,black_player,result
0,3,d7d6,rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,False,0.0,60+0,59.0,1.0,059rx8go,tklee,BostonMilz,-1
1,4,d2d3,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,True,0.0005561319232328,60+0,58.0,1.0,059rx8go,tklee,BostonMilz,1
2,5,c8g4,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,False,0.0,60+0,59.0,0.0,059rx8go,tklee,BostonMilz,-1
3,6,b1c3,rn1qkbnr/ppp2ppp/3p4/4p3/4P1b1/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,True,0.0,60+0,57.0,1.0,059rx8go,tklee,BostonMilz,1
4,7,g8f6,rn1qkbnr/ppp2ppp/3p4/4p3/4P1b1/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 2 4,False,0.0127928511265338,60+0,57.0,2.0,059rx8go,tklee,BostonMilz,-1
5,8,c1g5,rn1qkb1r/ppp2ppp/3p1n2/4p3/4P1b1/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 3 5,True,0.0016674852928052,60+0,56.0,1.0,059rx8go,tklee,BostonMilz,1
6,9,h7h6,rn1qkb1r/ppp2ppp/3p1n2/4p1B1/4P1b1/2NP1N2/PPP2PPP/R2QKB1R b KQkq - 4 5,False,0.0233625790868409,60+0,55.0,2.0,059rx8go,tklee,BostonMilz,-1
7,10,g5f6,rn1qkb1r/ppp2pp1/3p1n1p/4p1B1/4P1b1/2NP1N2/PPP2PPP/R2QKB1R w KQkq - 0 6,True,0.0411443041787958,60+0,54.0,2.0,059rx8go,tklee,BostonMilz,1
8,11,d8f6,rn1qkb1r/ppp2pp1/3p1B1p/4p3/4P1b1/2NP1N2/PPP2PPP/R2QKB1R b KQkq - 0 6,False,0.0,60+0,55.0,0.0,059rx8go,tklee,BostonMilz,-1
9,12,c3d5,rn2kb1r/ppp2pp1/3p1q1p/4p3/4P1b1/2NP1N2/PPP2PPP/R2QKB1R w KQkq - 0 7,True,0.0,60+0,51.0,3.0,059rx8go,tklee,BostonMilz,1
10,13,f6e6,rn2kb1r/ppp2pp1/3p1q1p/3Np3/4P1b1/3P1N2/PPP2PPP/R2QKB1R b KQkq - 1 7,False,0.0,60+0,53.0,2.0,059rx8go,tklee,BostonMilz,-1
11,14,d5c7,rn2kb1r/ppp2pp1/3pq2p/3Np3/4P1b1/3P1N2/PPP2PPP/R2QKB1R w KQkq - 2 8,True,0.0,60+0,48.0,3.0,059rx8go,tklee,BostonMilz,1
12,15,e8d7,rn2kb1r/ppN2pp1/3pq2p/4p3/4P1b1/3P1N2/PPP2PPP/R2QKB1R b KQkq - 0 8,False,0.0040714290631912,60+0,47.0,6.0,059rx8go,tklee,BostonMilz,-1
13,16,c7a8,rn3b1r/ppNk1pp1/3pq2p/4p3/4P1b1/3P1N2/PPP2PPP/R2QKB1R w KQ - 1 9,True,0.0,60+0,47.0,1.0,059rx8go,tklee,BostonMilz,1
14,17,b8c6,Nn3b1r/pp1k1pp1/3pq2p/4p3/4P1b1/3P1N2/PPP2PPP/R2QKB1R b KQ - 0 9,False,0.0,60+0,41.0,6.0,059rx8go,tklee,BostonMilz,-1
15,18,d3d4,N4b1r/pp1k1pp1/2npq2p/4p3/4P1b1/3P1N2/PPP2PPP/R2QKB1R w KQ - 1 10,True,0.0080888745949196,60+0,43.0,4.0,059rx8go,tklee,BostonMilz,1
16,19,f8e7,N4b1r/pp1k1pp1/2npq2p/4p3/3PP1b1/5N2/PPP2PPP/R2QKB1R b KQ - 0 10,False,0.0,60+0,40.0,1.0,059rx8go,tklee,BostonMilz,-1
17,20,f3e5,N6r/pp1kbpp1/2npq2p/4p3/3PP1b1/5N2/PPP2PPP/R2QKB1R w KQ - 1 11,True,0.0,60+0,42.0,1.0,059rx8go,tklee,BostonMilz,1
18,21,d6e5,N6r/pp1kbpp1/2npq2p/4N3/3PP1b1/8/PPP2PPP/R2QKB1R b KQ - 0 11,False,0.1921812854140998,60+0,38.0,2.0,059rx8go,tklee,BostonMilz,-1
